idx,label,id,type,source
53416,"Baillie, James",bwmpyucx,Person,contributor
597390,"Wycoff, John, 1881-1937.",y9xtg8z3,Person,subject
408793,"Springwater, Dr., pseud.",rjhqwhqn,Person,contributor
295672,"Rorario, Girolamo 1485-1556",mj57bxb4,Person,contributor
437513,"Gratzer, W. B. (Walter Bruno), 1932-",ska3e87s,Agent,contributor
47640,"Barthe de Sandfort, E",bqazvuce,Person,contributor
447244,"Sutton, D. A.",sx5s9e2j,Person,contributor
450396,"Marie, Auguste, 1864-1935.",t2ndfx94,Person,contributor
291724,"Shuttleworth, Mr.",mdp6pr4w,Person,contributor
386444,"Reece, Helen.",qrxubhur,Person,contributor
483513,"Ollé, James Gordon Herbert.",u86npz2c,Person,contributor
567593,"Casper, Monica J., 1966-",x8dbvr9m,Person,contributor
158324,"Beyer, Henry Gustav, 1850-1918.",fmsdjtap,Person,contributor
435306,"Künzel, W. (Wolfgang), 1936-",sgu85ucz,Person,contributor
157908,"Wiemeler, Mirjam.",fmaf9y3g,Person,contributor
398246,"Bossert, Otto, 1887-1968.",r6znwzu2,Person,subject
241361,"Howse, Carrie.",jkmxzrfx,Person,contributor
29089,"Bird, Samuel Dougan, 1832-1904.",b2v5x6t8,Person,contributor
187375,"Küffer, Johann, active 1606-1625.",gnx6pzw2,Person,contributor
641927,"Buscemi, Steve, 1957-",zut4d5kj,Person,subject
128719,"Kaufman, W. Reuben.",ejvrb4gu,Person,contributor
259864,"Lorente, D. H. A., Dr.",k96k2de6,Person,contributor
459928,"King, Erasmus, -1760.",tdbe6wgm,Person,contributor
27829,"Bedot, Maurice.",azg4paxq,Person,contributor
577352,"Hennen, John, 1779-1828",xk4jnj8x,Person,contributor
311145,"Greive, James, M.D.",n44ypdu5,Person,contributor
222942,"Steel, J., of Bath.",hxf5ra4p,Person,contributor
443664,"La Croix, Jacques Vincent de, b. 1743-d. ca. 1831",st8925mg,Person,subject
196138,"Tuke, J. Batty (John Batty), Sir, 1835-1913",gym9ke6b,Person,contributor
444467,"Townley,  , fl. ca. 1722",su2t6z7k,Person,subject
294513,"James, Samuel",mgsbk73x,Person,contributor
211871,"Gratia, André, 1893-1950.",hj7pfpt7,Person,subject
456606,"Dunstan, Saint, 924-988.",t9na82da,Person,contributor
65670,"Davis, Elizabeth, 1962-",cbyxuhkd,Person,contributor
201199,"Gay, Hannah.",h6dj7px8,Person,contributor
149054,"Bourcher, Arthur",fafry77a,Person,contributor
131724,"Robins, Kevin.",ep5nttgh,Person,contributor
303156,"Gil de Texada, Vicente.",mta2djdd,Person,contributor
168111,"Thoroton, Robert, 1623-1678.",fyha9hcu,Person,subject
524117,"Le Blond, Michel, 1587-1656 Art collections.",vpcjr25m,Person,subject
500104,"Oeser, Erhard.",utg76hrt,Person,contributor
434698,"Stevens, James",sg78uk7x,Person,contributor
317305,"Murray, John, 1737-1793.",navhsn3j,Person,contributor
443588,"Tilborgh, Gillis van, active approximately 1635-approximately 1678.",st5dbrsf,Person,contributor
66105,"Nicolau, K.",ccfz8rar,Person,contributor
222692,"Cantor, Charles R., 1942-",hx6537tm,Person,contributor
628950,"Āṟumukam Piḷḷai, Citamparam Taḷavaricai Paṇṭitar.",zd9pv5xt,Person,contributor
426800,"Clapham, William, fl. 1750-1785",s7fgshsn,Agent,contributor
122511,"Lullin, Pierre, 1712-1789.",ec4vr4vm,Person,contributor
630794,"Nevan, Norman.",zfbhn2em,Person,contributor
312498,"Adams, Joseph, 1756-1818.",n5p9z3gu,Person,subject
295482,"Monte Snyders, Johann de, fl. 17th century.",mhw7fjqu,Person,contributor
512736,"Sinclair, Waller M.",v9qtdskg,Person,contributor
378692,"Wilson, Michael, 1928-",qgftmy7k,Person,contributor
405160,"Rack, John Horsman.",red7kucy,Person,contributor
586479,"Manz, Hedwig.",xw3mmdww,Person,contributor
